genus,species,fangs,toxicity,rating,common name
Dasypeltis,abyssina,rear-fanged,non-venomous,unclear dangerousness,Ethiopian Egg Eater
Dasypeltis,atra,rear-fanged,non-venomous,unclear dangerousness,African Egg eating Snake
Dasypeltis,bazi,rear-fanged,non-venomous,unclear dangerousness,Egyptian egg eating snake
Dasypeltis,confusa,rear-fanged,non-venomous,unclear dangerousness,Confusing Egg Eater
Dasypeltis,fasciata,rear-fanged,non-venomous,unclear dangerousness,Central African Egg eating Snake
Dasypeltis,gansi,rear-fanged,non-venomous,unclear dangerousness,Gans’ Egg Eater
Dasypeltis,inornata,rear-fanged,non-venomous,unclear dangerousness,Southern Brown Egg Eater
Dasypeltis,latericia,rear-fanged,unclear toxicity,???,Senegal Egg Eater
Dasypeltis,medici,rear-fanged,non-venomous,unclear dangerousness,East African Egg Eater
Dasypeltis,palmarum,rear-fanged,unclear toxicity,???,Palm Egg Eater
Dasypeltis,parascabra,rear-fanged,unclear toxicity,???,Guinean Egg Eater
Dasypeltis,sahelensis,rear-fanged,non-venomous,unclear dangerousness,Sahel Egg Eater
Dasypeltis,scabra,rear-fanged,non-venomous,unclear dangerousness,Rhombic Egg Eater
Dendrelaphis,andamanensis,rear-fanged,unclear toxicity,???,Andaman Bronze back
Dendrelaphis,ashoki,rear-fanged,unclear toxicity,???,Anamalai Bronzeback
Dendrelaphis,bifrenalis,rear-fanged,unclear toxicity,???,Boulenger's Bronzeback
Dendrelaphis,biloreatus,rear-fanged,unclear toxicity,???,Gore's Bronzeback
Dendrelaphis,calligaster,rear-fanged,unclear toxicity,???,Green treesnake
Dendrelaphis,caudolineatus,rear-fanged,unclear toxicity,???,Striped Bronzeback
Dendrelaphis,caudolineolatus,rear-fanged,unclear toxicity,???,Sri Lankan Stripe tailed Bronzeback
Dendrelaphis,chairecacos,rear-fanged,unclear toxicity,???,Karnataka Bronzeback
Dendrelaphis,cyanochloris,rear-fanged,unclear toxicity,???,Wall's Bronzeback
Dendrelaphis,flavescens,rear-fanged,unclear toxicity,???,Sulu Bronzeback
Dendrelaphis,formosus,rear-fanged,unclear toxicity,???,Elegant Bronzeback
Dendrelaphis,fuliginosus,rear-fanged,unclear toxicity,???,Negros Bronzeback
Dendrelaphis,gastrostictus,rear-fanged,unclear toxicity,???,Montane treesnake
Dendrelaphis,girii,rear-fanged,unclear toxicity,???,Giri's Bronzeback Tree Snake
Dendrelaphis,grandoculis,rear-fanged,unclear toxicity,???,Southern Bronzeback
Dendrelaphis,grismeri,rear-fanged,unclear toxicity,???,Moluccan Painted Bronzeback
Dendrelaphis,haasi,rear-fanged,unclear toxicity,???,Haas’s Bronzeback snake
Dendrelaphis,hollinrakei,rear-fanged,unclear toxicity,???,Shek Kwu Chau Bronzeback
Dendrelaphis,humayuni,rear-fanged,unclear toxicity,???,Tiwar's Bronzeback
